Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],GDP (constant 2010 US$) [NY.GDP.MKTP.KD],"Population, total [SP.POP.TOTL]"
2010,YR2010,San Marino,SMR,..,2139072847.68212,31110
2010,YR2010,Sao Tome and Principe,STP,99.009,197454053.144483,174776
2010,YR2010,Saudi Arabia,SAU,518491.798,528207200000,27425676
2010,YR2010,Senegal,SEN,7744.704,12948906288.5576,12916229
2010,YR2010,Serbia,SRB,45954.844,39460357730.5224,7291436
2010,YR2010,Seychelles,SYC,443.707,969936525.298729,89770
2010,YR2010,Sierra Leone,SLE,726.066,2616610911.07222,6458720
2010,YR2010,Singapore,SGP,55643.058,236421782178.218,5076732
2010,YR2010,Sint Maarten (Dutch part),SXM,..,..,35474
2010,YR2010,Slovak Republic,SVK,36240.961,89501012915.7314,5391428
2010,YR2010,Slovenia,SVN,15335.394,48013606745.4803,2048583
2010,YR2010,Solomon Islands,SLB,198.018,671585343.170686,527790
2010,YR2010,Somalia,SOM,612.389,..,12053223
2010,YR2010,South Africa,ZAF,474099.096,375298134440.469,50979432.3622277
2010,YR2010,South Sudan,SSD,..,15727363443.0995,10067192
2010,YR2010,Spain,ESP,270910.626,1431616749640.29,46576897
2010,YR2010,Sri Lanka,LKA,13263.539,56725745039.336,20119000
2010,YR2010,St. Kitts and Nevis,KNA,220.02,705015370.37037,51445
2010,YR2010,St. Lucia,LCA,403.37,1381968259.25926,172580
2010,YR2010,St. Martin (French part),MAF,..,..,30235
2010,YR2010,St. Vincent and the Grenadines,VCT,220.02,681225962.962963,109315
2010,YR2010,Sudan,SDN,15940.449,65634109236.7736,34385963
2010,YR2010,Suriname,SUR,2401.885,4368398047.64333,526103
2010,YR2010,Swaziland,SWZ,1037.761,4438778424.30203,1202843
2010,YR2010,Sweden,SWE,52023.729,488377689564.921,9378126
2010,YR2010,Switzerland,CHE,38994.878,583782977866.405,7824909
2010,YR2010,Syrian Arab Republic,SYR,61605.6,..,21018834
2010,YR2010,Tajikistan,TJK,2544.898,5642178579.58438,7641630
2010,YR2010,Tanzania,TZA,7106.646,31407908612.0943,46098591
2010,YR2010,Thailand,THA,281926.294,341105009515.333,67208808
2010,YR2010,Timor-Leste,TLS,234.688,894400000,1109591
2010,YR2010,Togo,TGO,2640.24,3172945644.5585,6502952
2010,YR2010,Tonga,TON,117.344,369485198.817979,104137
2010,YR2010,Trinidad and Tobago,TTO,47935.024,22157948396.2042,1328100
2010,YR2010,Tunisia,TUN,27660.181,44050929160.2627,10639931
2010,YR2010,Turkey,TUR,298002.422,771876791231.838,72326914
2010,YR2010,Turkmenistan,TKM,57289.541,22583157894.7368,5087210
2010,YR2010,Turks and Caicos Islands,TCA,190.684,..,30994
2010,YR2010,Tuvalu,TUV,7.334,31823518.6204366,10531
2010,YR2010,Uganda,UGA,3920.023,20186496527.1276,33915133
2010,YR2010,Ukraine,UKR,304643.359,136013155905.036,45870700
2010,YR2010,United Arab Emirates,ARE,160812.618,289880430197.413,8270684
2010,YR2010,United Kingdom,GBR,493207.833,2441173394729.62,62766365
2010,YR2010,United States,USA,5395532.125,14964372000000,309348193
2010,YR2010,Uruguay,URY,6387.914,40284481661.8726,3374415
2010,YR2010,Uzbekistan,UZB,104168.469,39332770928.9426,28562400
2010,YR2010,Vanuatu,VUT,121.011,700804286.224354,236295
2010,YR2010,"Venezuela, RB",VEN,189070.52,393190682070.491,29028033
2010,YR2010,Vietnam,VNM,142737.975,115931749697.241,86932500
2010,YR2010,Virgin Islands (U.S.),VIR,..,4339000000,106267
2010,YR2010,West Bank and Gaza,PSE,2035.185,8913100000,3811102
2010,YR2010,"Yemen, Rep.",YEM,23432.13,30906749533.221,23606779
2010,YR2010,Zambia,ZMB,2691.578,20265556273.582,13850033
2010,YR2010,Zimbabwe,ZWE,7777.707,10141859709.6169,14086317
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 01/25/2018,,,,,,
